,title,company,location,summary
50,Comptable,COMPTABILITE MAHER BAHI,"Ksar Hellal, Monastir",Référence : 5220/2023/640 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   COMPTABILITE MAHER BAHI   Adresse :   IMB ZARRAD AV H BOURGUIBA KSAR HELLAL   Région …
51,Assistant / Assistante de direction,MONASTIR DIAL SERVICE (NECIB MOHAMED),Monastir,Référence : 5210/2023/1329 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MONASTIR DIAL SERVICE (NECIB MOHAMED)   Adresse :   R 4 AV DE LA REPUBLIQUE MONASTIR…
52,Responsable management de la qualité,STE LABORATOIRE MEDICKA,"Béni Khalled, Nabeul",Référence : 2120/2023/830 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   STE LABORATOIRE MEDICKA   Adresse :   ROUTE DE KORBA BENI KHALLED   Région :   NABEUL…
53,Secrétaire médical / médicale,MEDECIN ORTHOPEDISTE MBAREK MEHDI,"Ezzahra, Ben Arous",Référence : 1320/2023/747 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   MEDECIN ORTHOPEDISTE MBAREK MEHDI   Adresse :   AV ENVIRON CENTRE MED BEN NASR EZZAHR…
54,Cuisinier / Cuisinière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1070 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
55,Chef boucher / bouchère,IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON,"Hammamet, Nabeul",Référence : 2140/2023/1079 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   IMMOB.D'HOTEL.EN TUNISIE SIDHET RADISSON   Adresse :   ROUTE TOURISTIQUE AV.HEDI NOU…
56,Architecte d'intérieur,STE ARCHI BEN SLIMAN SARL (DESIGN ET D,"Téboulba, Monastir",Référence : 5240/2023/803 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   STE ARCHI BEN SLIMAN SARL (DESIGN ET D   Adresse :   CITE ENNASR TEBOULBA   Région : …
57,Croissantier/ Croissantière,HOTEL MEHARI HAMMAMET,"Hammamet, Nabeul",Référence : 2140/2023/1069 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   HOTEL MEHARI HAMMAMET   Adresse :   HAMMAMET SUD   Région :   NABEUL   Code postal :…
58,Agent(e) de fabrication en prod/transformation du verre,ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C,Sousse,Référence : 5150/2023/775 (Offre d'emploi)   Date de publication : 24/05/2023   Entreprise :   ABDELHAMID BEN ALI MISSAOUI MAGA VERRE C   Adresse :   16 RUE EL JAHEDH-PRES MAISON D…
59,Préparateur / Préparatrice en pharmacie,PHARMACIE HABIB BELLAKHAL,"Ras Jebel, Bizerte",Référence : 2340/2023/321 (Offre de stage)   Date de publication : 24/05/2023   Entreprise :   PHARMACIE HABIB BELLAKHAL   Adresse :   RUE D'ALGERIE   Région :   BIZERTE   Code pos…
60,Titre du poste : Assistant(e) administratif(ve),NewGen technologies,Sfax,Description du poste :   NewGen Technologies est une entreprise de conseil en informatique spécialisée dans la transformation et l'optimisation des processus mé…
61,Statisticien(ne),Lekocom,"Hammamet, Nabeul",Habitant de préférence sur le Cap Bon ou proche d'Hammamet   DISPONIBILITE IMMEDIATE   Profil recherché H/F   * Titulaire d'une formation Bac+3   * F…
62,STAGE / CDI Customer Success Officer,Med Start Now,Tunis,Stage/CDI Customer Success Officer     Prestataire de service pour une startup française.      La société est une Insurtech  qui veut libérer l&rsq…
63,Formatrice en informatique,CENTRE CPN,Sousse,Centre de formation privé CPN Cherche à recruter : une jeune fille pour la poste de conseiller ou formatrice en informatique ou informatique multimédia   …
